muni_id,serial
484001001,636.0
484001002,234.0
484001003,361.0
484001004,96.0
484001005,134.0
484001006,204.0
484001007,171.0
484001008,159.0
484002001,220.0
484002002,211.0
484002003,54.0
484002004,457.0
484003001,27.0
484004001,0.0
484004002,31.0
484004003,9.0
484004004,6.0
484004005,12.0
484004006,0.0
484005001,108.0
484005002,99.0
484005003,15.0
484005004,2.0
484005005,7.0
484005006,32.0
484005007,11.0
484005008,151.0
484005009,51.0
484005010,29.0
484005011,6.0
484005012,19.0
484005013,0.0
484005014,33.0
484005015,26.0
484005016,30.0
484005017,83.0
484005018,150.0
484005019,13.0
484005020,48.0
484005021,5.0
484005022,49.0
484005023,0.0
484005024,0.0
484005025,66.0
484005026,29.0
484005027,8.0
484005028,67.0
484005029,6.0
484005030,75.0
484005031,17.0
484005032,16.0
484005033,70.0
484005034,16.0
484005035,189.0
484005036,21.0
484005037,17.0
484005038,33.0
484006001,149.0
484006002,153.0
484006003,24.0
484006004,73.0
484006005,59.0
484006006,51.0
484006007,71.0
484006008,84.0
484006009,157.0
484007001,25.0
484007002,0.0
484007003,43.0
484007004,0.0
484007005,8.0
484007006,9.0
484007007,0.0
484007008,6.0
484007009,6.0
484007010,19.0
484007011,33.0
484007012,0.0
484007013,7.0
484007014,0.0
484007015,24.0
484007016,7.0
484007017,0.0
484007018,4.0
484007019,32.0
484007020,18.0
484007021,24.0
484007022,0.0
484007023,0.0
484007024,0.0
484007025,7.0
484007026,0.0
484007027,4.0
484007028,7.0
484007029,0.0
484007030,9.0
484007031,0.0
484007032,17.0
484007033,0.0
484007034,27.0
484007035,46.0
484007036,85.0
484007037,14.0
484007038,0.0
484007039,0.0
484007040,16.0
484007041,18.0
484007042,0.0
484007043,0.0
484007044,0.0
484007045,16.0
484007046,0.0
484007047,0.0
484007048,16.0
484007049,0.0
484007050,4.0
484007051,11.0
484007052,3.0
484007053,13.0
484007054,11.0
484007055,6.0
484007056,0.0
484007057,33.0
484007058,0.0
484007059,0.0
484007060,0.0
484007061,0.0
484007062,2.0
484007063,0.0
484007064,0.0
484007065,10.0
484007066,0.0
484007067,0.0
484007068,75.0
484007069,21.0
484007070,0.0
484007071,4.0
484007072,0.0
484007073,0.0
484007074,2.0
484007075,0.0
484007076,45.0
484007077,0.0
484007078,0.0
484007079,0.0
484007080,16.0
484007081,0.0
484007082,0.0
484007083,14.0
484007084,0.0
484007085,0.0
484007086,0.0
484007087,14.0
484007088,0.0
484007089,130.0
484007090,23.0
484007091,5.0
484007093,0.0
484007094,8.0
484007095,0.0
484007096,0.0
484007097,13.0
484007098,0.0
484007099,42.0
484007100,0.0
484007101,44.0
484007102,5.0
484007103,0.0
484007104,20.0
484007105,22.0
484007106,4.0
484007107,0.0
484007108,2.0
484007109,0.0
484007110,0.0
484008001,14.0
484008002,28.0
484008003,55.0
484008004,11.0
484008005,36.0
484008006,175.0
484008007,6.0
484008008,0.0
484008009,12.0
484008010,97.0
484008011,40.0
484008012,198.0
484008013,31.0
484008014,74.0
484008015,58.0
484008016,101.0
484008017,169.0
484008018,78.0
484008019,403.0
484008020,0.0
484008021,147.0
484008022,187.0
484008023,152.0
484008024,304.0
484008025,164.0
484008026,243.0
484008027,0.0
484008028,31.0
484008029,0.0
484008030,5.0
484008031,17.0
484008032,112.0
484008033,136.0
484008034,101.0
484008035,92.0
484008036,18.0
484008037,408.0
484008038,55.0
484008039,42.0
484008040,95.0
484008041,0.0
484008042,18.0
484008043,53.0
484008044,93.0
484008045,63.0
484008046,14.0
484008047,16.0
484008048,83.0
484008049,2.0
484008050,64.0
484008051,0.0
484008052,25.0
484008053,21.0
484008054,52.0
484008055,45.0
484008056,59.0
484008057,115.0
484008058,94.0
484008059,27.0
484008060,53.0
484008061,57.0
484008062,36.0
484008063,66.0
484008064,172.0
484008065,11.0
484009001,0.0
484009002,91.0
484009003,234.0
484009004,50.0
484009005,559.0
484009006,167.0
484010001,80.0
484010002,39.0
484010003,215.0
484010004,87.0
484010005,568.0
484010006,184.0
484010007,130.0
484010008,194.0
484010009,81.0
484010010,185.0
484010011,205.0
484010012,108.0
484010013,102.0
484010014,228.0
484010015,232.0
484010016,102.0
484010017,72.0
484010018,148.0
484010019,129.0
484010020,346.0
484010021,104.0
484010022,323.0
484010023,9.0
484010024,190.0
484010025,40.0
484010026,7.0
484010027,104.0
484010028,155.0
484010029,110.0
484010030,92.0
484010031,316.0
484010032,121.0
484010033,153.0
484010034,48.0
484010035,101.0
484010036,91.0
484010037,112.0
484010038,66.0
484011001,483.0
484011002,177.0
484011003,286.0
484011004,134.0
484011005,36.0
484011006,90.0
484011007,736.0
484011008,248.0
484011009,415.0
484011010,112.0
484011011,240.0
484011012,670.0
484011013,189.0
484011014,569.0
484011015,97.0
484011016,377.0
484011017,1014.0
484011018,191.0
484011019,257.0
484011020,1113.0
484011021,222.0
484011022,340.0
484011023,216.0
484011024,85.0
484011025,46.0
484011026,201.0
484011027,358.0
484011028,243.0
484011029,271.0
484011030,454.0
484011031,143.0
484011032,99.0
484011033,652.0
484011034,226.0
484011035,166.0
484011036,137.0
484011037,239.0
484011038,138.0
484011039,276.0
484011040,89.0
484011041,188.0
484011042,159.0
484011043,116.0
484011044,147.0
484011045,196.0
484011046,179.0
484012001,803.0
484012002,95.0
484012003,174.0
484012004,88.0
484012005,152.0
484012006,96.0
484012007,80.0
484012008,126.0
484012009,29.0
484012010,145.0
484012011,46.0
484012012,73.0
484012013,69.0
484012014,47.0
484012015,117.0
484012016,39.0
484012017,223.0
484012018,41.0
484012019,59.0
484012020,41.0
484012021,66.0
484012022,120.0
484012023,172.0
484012024,73.0
484012025,8.0
484012026,143.0
484012027,176.0
484012028,29.0
484012029,171.0
484012030,190.0
484012031,150.0
484012032,67.0
484012033,204.0
484012034,102.0
484012035,336.0
484012036,21.0
484012037,121.0
484012038,116.0
484012039,85.0
484012040,101.0
484012041,7.0
484012042,41.0
484012043,2.0
484012044,19.0
484012045,144.0
484012046,34.0
484012047,173.0
484012048,93.0
484012049,122.0
484012050,62.0
484012051,12.0
484012052,38.0
484012053,199.0
484012054,35.0
484012055,136.0
484012056,28.0
484012057,63.0
484012058,73.0
484012059,52.0
484012060,185.0
484012061,22.0
484012062,55.0
484012063,54.0
484012064,137.0
484012065,249.0
484012066,174.0
484012067,140.0
484012068,97.0
484012069,332.0
484012070,67.0
484012071,0.0
484012072,8.0
484012073,133.0
484012074,43.0
484013001,71.0
484013002,21.0
484013003,116.0
484013004,11.0
484013005,81.0
484013006,185.0
484013007,39.0
484013008,27.0
484013009,153.0
484013010,0.0
484013011,0.0
484013012,240.0
484013013,12.0
484013014,0.0
484013015,372.0
484013016,91.0
484013017,18.0
484013018,138.0
484013019,176.0
484013020,61.0
484013021,12.0
484013022,62.0
484013023,117.0
484013024,105.0
484013025,0.0
484013026,11.0
484013027,7.0
484013028,3.0
484013029,144.0
484013030,591.0
484013031,181.0
484013032,11.0
484013033,56.0
484013034,102.0
484013035,57.0
484013036,55.0
484013037,168.0
484013038,9.0
484013039,52.0
484013040,202.0
484013041,194.0
484013042,13.0
484013043,49.0
484013044,50.0
484013045,133.0
484013046,14.0
484013047,475.0
484013048,101.0
484013049,92.0
484013050,111.0
484013051,8.0
484013052,36.0
484013053,15.0
484013054,220.0
484013055,72.0
484013056,38.0
484013057,203.0
484013058,100.0
484013059,227.0
484013060,323.0
484013061,89.0
484013062,83.0
484013063,51.0
484013064,77.0
484013065,20.0
484013066,9.0
484013067,74.0
484013068,6.0
484013069,20.0
484013070,50.0
484013071,86.0
484013072,89.0
484013073,42.0
484013074,8.0
484013075,20.0
484013076,84.0
484013077,174.0
484013078,0.0
484013079,0.0
484013080,11.0
484013081,38.0
484013082,35.0
484014001,103.0
484014002,52.0
484014003,94.0
484014004,31.0
484014005,17.0
484014006,229.0
484014007,46.0
484014008,282.0
484014009,167.0
484014010,101.0
484014011,56.0
484014012,161.0
484014013,241.0
484014014,8.0
484014015,97.0
484014016,110.0
484014017,98.0
484014018,459.0
484014019,17.0
484014020,31.0
484014021,104.0
484014022,21.0
484014023,120.0
484014024,101.0
484014025,189.0
484014026,46.0
484014027,99.0
484014028,150.0
484014029,202.0
484014030,42.0
484014031,67.0
484014032,56.0
484014033,235.0
484014034,174.0
484014035,126.0
484014036,52.0
484014037,63.0
484014038,61.0
484014039,1318.0
484014040,50.0
484014041,160.0
484014042,74.0
484014043,74.0
484014044,116.0
484014045,247.0
484014046,347.0
484014047,76.0
484014048,156.0
484014049,73.0
484014050,89.0
484014051,50.0
484014052,50.0
484014053,537.0
484014054,96.0
484014055,90.0
484014056,18.0
484014057,66.0
484014058,63.0
484014059,84.0
484014060,145.0
484014061,70.0
484014062,97.0
484014063,125.0
484014064,155.0
484014065,106.0
484014066,50.0
484014067,172.0
484014068,117.0
484014069,174.0
484014070,107.0
484014071,65.0
484014072,92.0
484014073,214.0
484014074,218.0
484014075,49.0
484014076,10.0
484014077,189.0
484014078,211.0
484014079,48.0
484014080,153.0
484014081,128.0
484014082,48.0
484014083,201.0
484014084,31.0
484014085,135.0
484014086,76.0
484014087,65.0
484014088,101.0
484014089,170.0
484014090,83.0
484014091,211.0
484014092,190.0
484014093,392.0
484014094,46.0
484014095,124.0
484014096,87.0
484014097,229.0
484014098,373.0
484014099,95.0
484014100,142.0
484014101,309.0
484014102,130.0
484014103,52.0
484014104,176.0
484014105,160.0
484014106,144.0
484014107,81.0
484014108,46.0
484014109,139.0
484014110,185.0
484014111,61.0
484014112,119.0
484014113,84.0
484014114,144.0
484014115,129.0
484014116,111.0
484014117,71.0
484014118,269.0
484014119,131.0
484014120,623.0
484014121,84.0
484014122,78.0
484014123,141.0
484014124,96.0
484015001,50.0
484015002,57.0
484015003,49.0
484015004,153.0
484015005,8.0
484015006,53.0
484015007,28.0
484015008,199.0
484015009,14.0
484015010,31.0
484015011,8.0
484015012,9.0
484015013,124.0
484015014,54.0
484015015,67.0
484015016,17.0
484015017,63.0
484015018,10.0
484015019,0.0
484015020,95.0
484015021,131.0
484015022,17.0
484015023,3.0
484015024,22.0
484015025,125.0
484015026,4.0
484015027,3.0
484015028,5.0
484015029,52.0
484015030,11.0
484015031,271.0
484015032,24.0
484015033,975.0
484015034,18.0
484015035,16.0
484015036,50.0
484015037,67.0
484015038,5.0
484015039,166.0
484015040,78.0
484015041,48.0
484015042,4.0
484015043,4.0
484015044,26.0
484015045,51.0
484015046,14.0
484015047,28.0
484015048,25.0
484015049,58.0
484015050,16.0
484015051,7.0
484015052,110.0
484015053,18.0
484015054,63.0
484015055,15.0
484015056,10.0
484015057,428.0
484015058,567.0
484015059,21.0
484015060,110.0
484015061,16.0
484015062,7.0
484015063,69.0
484015064,5.0
484015065,60.0
484015066,107.0
484015067,18.0
484015068,58.0
484015069,20.0
484015070,121.0
484015071,54.0
484015072,19.0
484015073,5.0
484015074,98.0
484015075,9.0
484015076,3.0
484015077,179.0
484015078,82.0
484015079,24.0
484015080,93.0
484015081,65.0
484015082,226.0
484015083,4.0
484015084,16.0
484015085,239.0
484015086,149.0
484015087,3.0
484015088,178.0
484015089,2.0
484015090,57.0
484015091,37.0
484015092,13.0
484015093,16.0
484015094,63.0
484015095,43.0
484015096,12.0
484015097,115.0
484015098,8.0
484015099,101.0
484015100,18.0
484015101,37.0
484015102,48.0
484015103,6.0
484015104,248.0
484015105,214.0
484015106,163.0
484015107,64.0
484015108,17.0
484015109,202.0
484015110,39.0
484015111,30.0
484015112,18.0
484015113,385.0
484016001,23.0
484016002,85.0
484016003,146.0
484016004,279.0
484016005,29.0
484016006,229.0
484016007,99.0
484016008,56.0
484016009,80.0
484016010,96.0
484016011,144.0
484016012,154.0
484016013,173.0
484016014,93.0
484016015,112.0
484016016,140.0
484016017,118.0
484016018,121.0
484016019,94.0
484016020,198.0
484016021,42.0
484016022,120.0
484016023,205.0
484016024,41.0
484016025,56.0
484016026,133.0
484016027,320.0
484016028,173.0
484016029,131.0
484016030,130.0
484016031,141.0
484016032,115.0
484016033,43.0
484016034,500.0
484016035,111.0
484016036,146.0
484016037,178.0
484016038,142.0
484016039,154.0
484016040,164.0
484016041,127.0
484016042,105.0
484016043,82.0
484016044,124.0
484016045,90.0
484016046,351.0
484016047,86.0
484016048,195.0
484016049,241.0
484016050,102.0
484016051,156.0
484016052,319.0
484016053,714.0
484016054,119.0
484016055,47.0
484016056,129.0
484016057,78.0
484016058,171.0
484016059,70.0
484016060,108.0
484016061,95.0
484016062,297.0
484016063,118.0
484016064,104.0
484016065,250.0
484016066,78.0
484016067,196.0
484016068,100.0
484016069,170.0
484016070,140.0
484016071,423.0
484016072,135.0
484016073,123.0
484016074,118.0
484016075,129.0
484016076,173.0
484016077,104.0
484016078,127.0
484016079,218.0
484016080,50.0
484016081,522.0
484016082,176.0
484016083,239.0
484016084,100.0
484016085,140.0
484016086,114.0
484016087,199.0
484016088,182.0
484016089,79.0
484016090,61.0
484016091,207.0
484016092,135.0
484016093,34.0
484016094,269.0
484016095,28.0
484016096,146.0
484016097,120.0
484016098,110.0
484016099,190.0
484016100,90.0
484016101,142.0
484016102,534.0
484016103,115.0
484016104,217.0
484016105,105.0
484016106,122.0
484016107,158.0
484016108,391.0
484016109,118.0
484017001,133.0
484017002,101.0
484017003,113.0
484017004,295.0
484017005,138.0
484017006,337.0
484017007,278.0
484017008,69.0
484017009,3.0
484017010,175.0
484017011,218.0
484017012,194.0
484017013,85.0
484017014,72.0
484017015,101.0
484017016,84.0
484017017,71.0
484017018,135.0
484017019,217.0
484017020,66.0
484017021,54.0
484017022,151.0
484017023,32.0
484017024,123.0
484017025,105.0
484017026,37.0
484017027,46.0
484017028,39.0
484017029,144.0
484017030,115.0
484017031,121.0
484017032,214.0
484018001,32.0
484018002,136.0
484018003,80.0
484018004,98.0
484018005,52.0
484018006,44.0
484018007,58.0
484018008,144.0
484018009,125.0
484018010,59.0
484018011,101.0
484018012,96.0
484018013,78.0
484018014,96.0
484018015,173.0
484018016,44.0
484018017,289.0
484018018,139.0
484018019,98.0
484019001,10.0
484019002,30.0
484019003,4.0
484019004,42.0
484019005,27.0
484019006,72.0
484019007,4.0
484019008,53.0
484019009,40.0
484019010,22.0
484019011,47.0
484019012,31.0
484019013,34.0
484019014,201.0
484019015,28.0
484019016,27.0
484019017,24.0
484019018,9.0
484019019,132.0
484019020,24.0
484019021,57.0
484019022,38.0
484019023,7.0
484019024,10.0
484019025,25.0
484019026,285.0
484019027,29.0
484019028,8.0
484019029,90.0
484019030,5.0
484019031,36.0
484019032,19.0
484019033,58.0
484019034,9.0
484019035,7.0
484019036,174.0
484019037,5.0
484019038,78.0
484019039,365.0
484019040,9.0
484019041,10.0
484019042,168.0
484019043,0.0
484019044,45.0
484019045,7.0
484019046,161.0
484019047,6.0
484019048,18.0
484019049,19.0
484019050,28.0
484019051,7.0
484020001,51.0
484020002,143.0
484020003,0.0
484020004,38.0
484020005,10.0
484020006,57.0
484020007,7.0
484020008,0.0
484020009,34.0
484020010,0.0
484020011,28.0
484020012,2.0
484020013,44.0
484020014,5.0
484020015,30.0
484020016,0.0
484020017,15.0
484020018,0.0
484020019,0.0
484020020,60.0
484020021,42.0
484020022,0.0
484020023,15.0
484020024,0.0
484020025,15.0
484020026,73.0
484020027,0.0
484020028,111.0
484020029,0.0
484020030,5.0
484020031,19.0
484020032,42.0
484020033,10.0
484020034,126.0
484020035,4.0
484020036,0.0
484020037,55.0
484020038,2.0
484020039,127.0
484020040,0.0
484020041,0.0
484020042,26.0
484020043,35.0
484020044,59.0
484020045,10.0
484020046,26.0
484020047,0.0
484020048,40.0
484020049,45.0
484020050,83.0
484020051,76.0
484020052,12.0
484020053,0.0
484020054,4.0
484020055,10.0
484020056,0.0
484020057,66.0
484020058,0.0
484020059,123.0
484020060,0.0
484020061,61.0
484020062,19.0
484020063,8.0
484020064,86.0
484020065,51.0
484020066,0.0
484020067,151.0
484020068,35.0
484020069,36.0
484020070,7.0
484020071,0.0
484020072,22.0
484020073,52.0
484020074,0.0
484020075,0.0
484020076,14.0
484020077,0.0
484020078,33.0
484020079,20.0
484020080,0.0
484020081,113.0
484020082,9.0
484020083,6.0
484020084,7.0
484020085,0.0
484020086,24.0
484020087,23.0
484020088,36.0
484020089,6.0
484020090,120.0
484020091,4.0
484020092,30.0
484020093,0.0
484020094,0.0
484020095,27.0
484020096,0.0
484020097,3.0
484020098,0.0
484020099,19.0
484020100,21.0
484020101,47.0
484020102,7.0
484020103,12.0
484020104,34.0
484020105,89.0
484020106,0.0
484020107,82.0
484020108,71.0
484020109,4.0
484020110,0.0
484020111,0.0
484020112,0.0
484020113,0.0
484020114,13.0
484020115,11.0
484020116,0.0
484020117,0.0
484020118,206.0
484020119,0.0
484020120,7.0
484020121,10.0
484020122,0.0
484020123,118.0
484020124,0.0
484020125,3.0
484020126,0.0
484020127,9.0
484020128,22.0
484020129,0.0
484020130,38.0
484020131,131.0
484020132,3.0
484020133,4.0
484020134,3.0
484020135,78.0
484020136,31.0
484020137,4.0
484020138,12.0
484020139,0.0
484020140,0.0
484020141,0.0
484020142,0.0
484020143,33.0
484020144,0.0
484020145,5.0
484020146,0.0
484020147,0.0
484020148,0.0
484020149,22.0
484020150,5.0
484020151,0.0
484020152,35.0
484020153,0.0
484020154,0.0
484020155,0.0
484020156,35.0
484020157,30.0
484020158,10.0
484020159,4.0
484020160,13.0
484020161,0.0
484020162,0.0
484020163,0.0
484020164,46.0
484020165,3.0
484020166,71.0
484020167,0.0
484020168,62.0
484020169,0.0
484020170,16.0
484020171,0.0
484020172,0.0
484020173,2.0
484020174,5.0
484020175,23.0
484020176,0.0
484020177,0.0
484020178,47.0
484020179,0.0
484020180,11.0
484020181,0.0
484020182,0.0
484020183,46.0
484020184,74.0
484020185,25.0
484020186,53.0
484020187,0.0
484020188,49.0
484020189,0.0
484020190,59.0
484020191,0.0
484020192,32.0
484020193,5.0
484020194,32.0
484020195,5.0
484020196,1.0
484020197,11.0
484020198,0.0
484020199,6.0
484020200,32.0
484020201,0.0
484020202,0.0
484020203,32.0
484020204,29.0
484020205,41.0
484020206,5.0
484020207,148.0
484020208,87.0
484020209,0.0
484020210,180.0
484020211,0.0
484020212,0.0
484020213,169.0
484020214,55.0
484020215,0.0
484020216,8.0
